time,xArm,yArm,zArm,xtraj,ytraj,ztraj,xGoal,yGoal,zGoal,xPArm,yPArm,zPArm
2.97,0.0073614,0.110902,0.644678,0.527113,0.107039,0.49795,-0.330579,-0.721611,0.854624,0.624302,0.146241,0.617153
2.988,0.00688335,0.110186,0.644827,0.527346,0.107616,0.49676,-0.330579,-0.721611,0.854624,0.623101,0.145677,0.617446
3.006,0.00718401,0.109408,0.644848,0.527577,0.108192,0.495572,-0.330579,-0.721611,0.854624,0.621991,0.145029,0.617574
3.024,0.0075225,0.108275,0.643966,0.527805,0.108767,0.494386,-0.330579,-0.721611,0.854624,0.621493,0.143956,0.616844
3.042,0.00745727,0.106783,0.641497,0.528031,0.109342,0.493201,-0.330579,-0.721611,0.854624,0.62161,0.142434,0.614265
3.06,0.00719654,0.105937,0.639402,0.528255,0.109915,0.492018,-0.330579,-0.721611,0.854624,0.621453,0.141564,0.611857
3.078,0.00715344,0.105544,0.638429,0.528476,0.110488,0.490837,-0.330579,-0.721611,0.854624,0.621019,0.14116,0.610615
3.096,0.00692947,0.105228,0.6379,0.528695,0.11106,0.489658,-0.330579,-0.721611,0.854624,0.620363,0.140802,0.609952
3.114,0.00686011,0.104936,0.637421,0.528911,0.111631,0.48848,-0.330579,-0.721611,0.854624,0.619577,0.140448,0.609418
3.132,0.00743434,0.104673,0.636901,0.529125,0.112201,0.487305,-0.330579,-0.721611,0.854624,0.61882,0.140121,0.608842
3.15,0.00689112,0.104428,0.636333,0.529337,0.11277,0.486131,-0.330579,-0.721611,0.854624,0.618165,0.139805,0.608189
3.168,0.00714702,0.104168,0.635694,0.529546,0.113338,0.484959,-0.330579,-0.721611,0.854624,0.617614,0.139456,0.607446
3.186,0.00700975,0.103886,0.634966,0.529753,0.113906,0.483788,-0.330579,-0.721611,0.854624,0.617179,0.13906,0.606594
3.204,0.00704949,0.103587,0.634152,0.529957,0.114473,0.48262,-0.330579,-0.721611,0.854624,0.616882,0.138629,0.605626
3.222,0.00811484,0.10354,0.632599,0.53016,0.115038,0.481453,-0.330579,-0.721611,0.854624,0.616808,0.138507,0.603964
3.24,0.00749059,0.103646,0.629953,0.530359,0.115603,0.480288,-0.330579,-0.721611,0.854624,0.616775,0.138642,0.600975
3.258,0.00749276,0.103172,0.628012,0.530557,0.116167,0.479124,-0.330579,-0.721611,0.854624,0.616759,0.138033,0.598582
3.276,0.00689662,0.102419,0.627035,0.530752,0.11673,0.477963,-0.330579,-0.721611,0.854624,0.61663,0.137105,0.597248
3.294,0.00714397,0.101694,0.626355,0.530945,0.117293,0.476803,-0.330579,-0.721611,0.854624,0.616228,0.136246,0.596332
3.312,0.00704026,0.101014,0.625684,0.531136,0.117854,0.475645,-0.330579,-0.721611,0.854624,0.61564,0.135443,0.59549
3.33,0.0069814,0.100345,0.624998,0.531324,0.118415,0.474489,-0.330579,-0.721611,0.854624,0.614995,0.134653,0.594628
3.348,0.00687792,0.0996694,0.6243,0.53151,0.118975,0.473335,-0.330579,-0.721611,0.854624,0.614343,0.133851,0.593737
3.366,0.00693506,0.0989829,0.623558,0.531693,0.119533,0.472182,-0.330579,-0.721611,0.854624,0.613701,0.133029,0.592782
